prenom,nom,titre_livre,nbpages,isbn,publisher_name
Edward,Abbey,Black Sun (Edward Abbey novel),159,978-1-55566-286-8,Simon & Schuster
Edward,Abbey,Fire on the Mountain (Abbey novel),211,0-8263-0457-5,Dial Press
Edward,Abbey,Hayduke Lives,352,"ISBN 0-316-00411-1 (first edition, hardback)","Little, Brown and Company"
Edward,Abbey,Jonathan Troy,374,1-131-40684-2,"Dodd, Mead and Company"
Edward,Abbey,The Monkey Wrench Gang,352,ISBN 0-397-01084-2 (hardback edition),Lippincott Williams & Wilkins
Edward,Abbey,The Brave Cowboy,277,0-8263-0448-6,"Dodd, Mead and Company"
Edward,Abbey,The Fool's Progress,485,0-8050-0921-3,Henry Holt and Company
Marc,Acito,"How I Paid for College: A Novel of Sex, Theft, Friendship, and Musical Theater",288,"ISBN 0-7679-1841-X (first edition, hardback)",Broadway Books
Kathy,Acker,Blood and Guts in High School,165,ISBN 0-8021-3193-X (Paperback edition),Grove Press
Warren,Adler,The War of the Roses (novel),263,0-446-51220-6,Hachette Book Group
Will,Aitken,Terre Haute (novel),288,0-85449-131-7,Gay Men's Press
Mitch,Albom,The Five People You Meet in Heaven,208,978-0-7868-6871-1,Hyperion Books
Mitch,Albom,Tuesdays with Morrie,192,0-385-48451-8,Doubleday (publisher)
Louisa May,Alcott,A Long Fatal Love Chase,242,ISBN 0-679-44510-2,Random House
Lloyd,Alexander,The Castle of Llyr,204,"0-8050-1115-3 (first edition, hard)",Henry Holt and Company
Lloyd,Alexander,Westmark (novel),184,"ISBN 0-525-42335-4 (first edition, hard)",E. P. Dutton
Roger MacBride,Allen,The Depths of Time,471,0-553-57497-3,Bantam Spectra
Roger MacBride,Allen,Isaac Asimov's Caliban,312,0-441-09079-6,Ace Books
Roger MacBride,Allen,The War Machine,338,ISBN 0-671-69845-1 (Paperback edition),Baen Books
Roger MacBride,Allen,Farside Cannon,406,0-671-65428-4,Baen Books
Roger MacBride,Allen,The Ring of Charon,512,978-0-8125-3014-8,Tor Books
Roger MacBride,Allen,Allies and Aliens,726,ISBN 0-671-87658-9,Baen Books
Sarah Addison,Allen,Garden Spells,304,0553805487,Bantam Books
Dorothy,Allison,Bastard out of Carolina,320,ISBN 0-452-28705-7 (paperback),Plume (publisher)
Jennifer,Allison,Gilda Joyce: Psychic Investigator,321,0-525-47375-0,Dutton Children's Books
Jennifer,Allison,Gilda Joyce: The Ladies of the Lake,334,ISBN,Dutton Children's Books
