"person","givenName","surname"
"http://dbpedia.org/resource/George_Singleton","George","Singleton"
"http://dbpedia.org/resource/La_Belle_Titcomb","La Belle","Titcomb"
"http://dbpedia.org/resource/Frank_Gasperik","Frank","Gasperik"
"http://dbpedia.org/resource/Sarah_Einstein","Sarah","Einstein"
"http://dbpedia.org/resource/Andy_Glazer","Andy","Glazer"
"http://dbpedia.org/resource/Ellen_Wittlinger","Ellen","Wittlinger"
"http://dbpedia.org/resource/Elmo_Scott_Watson","Elmo Scott","Watson"
"http://dbpedia.org/resource/James_Still_(playwright)","James","Still"
"http://dbpedia.org/resource/Prentiss_Taylor","Prentiss","Taylor"
"http://dbpedia.org/resource/Elizabeth_Strong_Worthington","Elizabeth Strong","Worthington"
"http://dbpedia.org/resource/Deborah_Tall","Deborah","Tall"
"http://dbpedia.org/resource/Gary_Miranda","Gary","Miranda"
"http://dbpedia.org/resource/J._Marvin_Hunter","J. Marvin","Hunter"
"http://dbpedia.org/resource/Katy_Stauber","Katy","Stauber"
"http://dbpedia.org/resource/Maggie_Koerth-Baker","Maggie","Koerth-Baker"
"http://dbpedia.org/resource/Mikhail_Horowitz","Mikhail","Horowitz"
"http://dbpedia.org/resource/Noël_Riley_Fitch","Noel Riley","Fitch"
"http://dbpedia.org/resource/A.B.C._Whipple","A.B.C.","Whipple"
"http://dbpedia.org/resource/Ernest_Kinoy","Ernest","Kinoy"
"http://dbpedia.org/resource/Joseph_Dougherty","Joseph","Dougherty"
"http://dbpedia.org/resource/Mark_William_Shaw","Mark William","Shaw"
"http://dbpedia.org/resource/Walter_Edgar","Walter","Edgar"
"http://dbpedia.org/resource/Jacob_M._Appel","Jacob M.","Appel"
"http://dbpedia.org/resource/Dan_T._Carter","Dan T.","Carter"
"http://dbpedia.org/resource/David_Reiter","David P","Reiter"
"http://dbpedia.org/resource/Jeff_Rabhan","Jeff","Rabhan"
"http://dbpedia.org/resource/Kate_Welsh","Kate","Welsh"
"http://dbpedia.org/resource/Sue_Fliess","Sue","Fliess"
"http://dbpedia.org/resource/Sue_Weinlein_Cook","Sue","Weinlein Cook"
"http://dbpedia.org/resource/Annie_Finch","Annie","Finch"
"http://dbpedia.org/resource/Henry_S._Whitehead","Henry S.","Whitehead"
"http://dbpedia.org/resource/L._Perry_Curtis","Lewis Perry","Curtis Jr."
"http://dbpedia.org/resource/Clara_Beranger","Clara","Beranger"
"http://dbpedia.org/resource/Michael_R._Collings","Michael Robert","Collings"
"http://dbpedia.org/resource/Steve_Lightfoot","Steve","Lightfoot"
"http://dbpedia.org/resource/Carolyn_Kreiter-Foronda","Carolyn","Kreiter-Foronda"
"http://dbpedia.org/resource/Ethel_Romig_Fuller","Ethel Romig","Fuller"
"http://dbpedia.org/resource/Harve_Brosten","Harve","Brosten"
"http://dbpedia.org/resource/Claude_Sitton","Claude","Sitton"
"http://dbpedia.org/resource/D._J._Waldie","D.J.","Waldie"
"http://dbpedia.org/resource/Hiroshi_Kashiwagi","Hiroshi","Kashiwagi"
"http://dbpedia.org/resource/John_Herbers","John","Herbers"
"http://dbpedia.org/resource/Mildred_Grosberg_Bellin","Mildred Grosberg","Bellin"
"http://dbpedia.org/resource/Soji_Kashiwagi","Soji","Kashiwagi"
"http://dbpedia.org/resource/Edward_Hume","Edward","Hume"
"http://dbpedia.org/resource/William_Anthony_McGuire","William Anthony","McGuire"
"http://dbpedia.org/resource/Janet_Peoples","Janet","Peoples"
"http://dbpedia.org/resource/Gerald_W._Page","Gerald W.","Page"
"http://dbpedia.org/resource/Allan_Carpenter","Allan","Carpenter"
"http://dbpedia.org/resource/E._R._Jackman","Edwin Russell","Jackman"
"http://dbpedia.org/resource/Dave_U._Hall","Dave U.","Hall"
"http://dbpedia.org/resource/Richard_Due","Richard","Due"
"http://dbpedia.org/resource/Glenn_Lord","Glenn","Lord"
"http://dbpedia.org/resource/Rick_Swan","Rick","Swan"
"http://dbpedia.org/resource/Melville_Baker","Melville","Baker"
"http://dbpedia.org/resource/Mildred_D._Taylor","D. Mildred","Taylor"
"http://dbpedia.org/resource/Evelyn_Greenleaf_Sutherland","Evelyn Greenleaf","Sutherland"
"http://dbpedia.org/resource/Kitty_O'Neil_(dancer)","Kitty","O'Neil"
